count	count_norm	parent	tax_rank	tax_color	avg	taxon	tax_name	sample_date
100993	1003727	0	root	null	null	1	root	6/13/2015
100618	1000000	131567	superkingdom	null	null	2	Bacteria	6/13/2015
6	60	203692	order	null	null	136	Spirochaetales	6/13/2015
2	20	136	family	null	null	137	Spirochaetaceae	6/13/2015
4	40	136	family	null	null	170	Leptospiraceae	6/13/2015
356	3538	72294	genus	null	null	194	Campylobacter	6/13/2015
5	50	135621	genus	null	null	286	Pseudomonas	6/13/2015
5	50	28211	order	null	null	356	Rhizobiales	6/13/2015
329	3270	206351	family	null	null	481	Neisseriaceae	6/13/2015
5	50	91347	family	null	null	543	Enterobacteriaceae	6/13/2015
5	50	122277	species	null	null	554	Pectobacterium carotovorum	6/13/2015
5	50	28211	order	null	null	766	Rickettsiales	6/13/2015
15149	150560	171549	family	null	null	815	Bacteroidaceae	6/13/2015
14041	139548	815	genus	null	null	816	Bacteroides	6/13/2015
5677	56421	816	species	null	null	817	Bacteroides fragilis	6/13/2015
658	6540	816	species	null	null	820	Bacteroides uniformis	6/13/2015
2516	25005	375288	species	null	null	823	Parabacteroides distasonis	6/13/2015
172	1709	194	species	null	null	827	Campylobacter ureolyticus	6/13/2015
4602	45737	171551	genus	null	null	836	Porphyromonas	6/13/2015
861	8557	171552	genus	null	null	838	Prevotella	6/13/2015
675	6709	186803	genus	null	null	841	Roseburia	6/13/2015
7891	78425	216851	species	null	null	853	Faecalibacterium prausnitzii	6/13/2015
4	40	194924	genus	null	null	872	Desulfovibrio	6/13/2015
10	99	31977	genus	null	null	906	Megasphaera	6/13/2015
2	20	766	family	null	null	942	Anaplasmataceae	6/13/2015
2	20	942	tribe	null	null	952	Wolbachieae	6/13/2015
2	20	952	genus	null	null	953	Wolbachia	6/13/2015
26870	267050	68336	phylum	e65848	null	976	Bacteroidetes	6/13/2015
5	50	2	phylum	null	null	1117	Cyanobacteria	6/13/2015
4107	40818	2	phylum	2ab69d	null	1224	Proteobacteria	6/13/2015
58	576	1224	class	null	null	1236	Gammaproteobacteria	6/13/2015
54760	544237	2	phylum	5E6591	null	1239	Firmicutes	6/13/2015
57	566	162289	species	null	null	1258	Peptoniphilus asaccharolyticus	6/13/2015
6193	61550	150022	species	null	null	1260	Finegoldia magna	6/13/2015
1854	18426	541000	genus	null	null	1263	Ruminococcus	6/13/2015
2	20	85006	family	null	null	1268	Micrococcaceae	6/13/2015
25	248	90964	genus	null	null	1279	Staphylococcus	6/13/2015
16	159	1279	species	null	null	1281	Staphylococcus carnosus	6/13/2015
15	149	186826	family	null	null	1300	Streptococcaceae	6/13/2015
15	149	1300	genus	null	null	1301	Streptococcus	6/13/2015
2	20	1301	species	null	null	1308	Streptococcus thermophilus	6/13/2015
2	20	539738	genus	null	null	1378	Gemella	6/13/2015
46	457	91061	order	null	null	1385	Bacillales	6/13/2015
15	149	186817	genus	null	null	1386	Bacillus	6/13/2015
882	8766	31979	genus	null	null	1485	Clostridium	6/13/2015
101	1004	1485	species	null	null	1531	Clostridium clostridioforme	6/13/2015
2	20	1505663	species	null	null	1547	Erysipelatoclostridium ramosum	6/13/2015
809	8040	85007	family	null	null	1653	Corynebacteriaceae	6/13/2015
512	5089	1653	genus	null	null	1716	Corynebacterium	6/13/2015
2	20	1716	species	null	null	1717	Corynebacterium diphtheriae	6/13/2015
62	616	186806	genus	null	null	1730	Eubacterium	6/13/2015
1275	12672	201174	class	null	null	1760	Actinobacteria	6/13/2015
2	20	85025	genus	null	null	1817	Nocardia	6/13/2015
2	20	2070	genus	null	null	1847	Pseudonocardia	6/13/2015
969	9630	85003	order	null	null	2037	Actinomycetales	6/13/2015
130	1292	85005	family	null	null	2049	Actinomycetaceae	6/13/2015
20	199	85010	family	null	null	2070	Pseudonocardiaceae	6/13/2015
4	40	31969	order	null	null	2085	Mycoplasmatales	6/13/2015
