"count","count_norm","parent","tax_rank","tax_color","avg","taxon","tax_name"
"111343","1001403","0","root","null","null","1","root"
"111187","1000000","131567","superkingdom","null","null","2","Bacteria"
"3512","31586","72294","genus","null","null","194","Campylobacter"
"51","459","91347","family","null","null","543","Enterobacteriaceae"
"4520","40652","171549","family","null","null","815","Bacteroidaceae"
"4224","37990","815","genus","null","null","816","Bacteroides"
"5","45","816","species","null","null","817","Bacteroides fragilis"
"795","7150","816","species","null","null","820","Bacteroides uniformis"
"225","2024","375288","species","null","null","823","Parabacteroides distasonis"
"19","171","194","species","null","null","827","Campylobacter ureolyticus"
"4754","42757","171551","genus","null","null","836","Porphyromonas"
"29423","264626","171552","genus","null","null","838","Prevotella"
"122","1097","186803","genus","null","null","841","Roseburia"
"7","63","203492","genus","null","null","848","Fusobacterium"
"2","18","216851","species","null","null","853","Faecalibacterium prausnitzii"
"7","63","848","species","null","null","860","Fusobacterium periodonticum"
"2","18","194924","genus","null","null","872","Desulfovibrio"
"2","18","872","species","null","null","876","Desulfovibrio desulfuricans"
"2","18","31977","genus","null","null","906","Megasphaera"
"40511","364350","68336","phylum","e65848","null","976","Bacteroidetes"
"3608","32450","2","phylum","2ab69d","null","1224","Proteobacteria"
"59","531","1224","class","null","null","1236","Gammaproteobacteria"
"43514","391359","2","phylum","5E6591","null","1239","Firmicutes"
"4561","41021","150022","species","null","null","1260","Finegoldia magna"
"3571","32117","541000","genus","null","null","1263","Ruminococcus"
"6","54","90964","genus","null","null","1279","Staphylococcus"
"3","27","1279","species","null","null","1281","Staphylococcus carnosus"
"116","1043","186826","family","null","null","1300","Streptococcaceae"
"112","1007","1300","genus","null","null","1301","Streptococcus"
"9","81","1301","species","null","null","1308","Streptococcus thermophilus"
"13","117","91061","order","null","null","1385","Bacillales"
"3","27","186817","genus","null","null","1386","Bacillus"
"4","36","44249","species","null","null","1406","Paenibacillus polymyxa"
"1577","14183","31979","genus","null","null","1485","Clostridium"
"82","737","1485","species","null","null","1531","Clostridium clostridioforme"
"122","1097","1485","species","null","null","1535","Clostridium leptum"
"3","27","1505663","species","null","null","1547","Erysipelatoclostridium ramosum"
"110","989","33958","genus","null","null","1578","Lactobacillus"
"67","603","1578","species","null","null","1579","Lactobacillus acidophilus"
"2","18","1578","species","null","null","1599","Lactobacillus sakei"
"1484","13347","85007","family","null","null","1653","Corynebacteriaceae"
"11","99","2049","genus","null","null","1654","Actinomyces"
"1476","13275","1653","genus","null","null","1716","Corynebacterium"
"67","603","186806","genus","null","null","1730","Eubacterium"
"16704","150233","201174","class","null","null","1760","Actinobacteria"
"353","3175","85007","family","null","null","1762","Mycobacteriaceae"
"353","3175","1762","genus","null","null","1763","Mycobacterium"
"15620","140484","85003","order","null","null","2037","Actinomycetales"
"13750","123666","85005","family","null","null","2049","Actinomycetaceae"
"791","7114","279916","genus","null","null","2050","Mobiluncus"
"791","7114","2050","species","null","null","2051","Mobiluncus curtisii"
"27","243","85010","family","null","null","2070","Pseudonocardiaceae"
"4688","42163","2","no_rank","null","null","2323","unclassified Bacteria"
"41","369","186807","genus","null","null","2740","Peptococcus"
"29","261","2740","species","null","null","2741","Peptococcus niger"
"156","1403","1","no_rank","null","null","12908","unclassified sequences"
"4","36","48479","species","null","null","13136","unidentified marine bacterioplankton"
"11","99","186803","genus","null","null","28050","Lachnospira"
"63","567","816","species","null","null","28116","Bacteroides ovatus"
"288","2590","239759","species","null","null","28117","Alistipes putredinis"
"15","135","283168","species","null","null","28118","Odoribacter splanchnicus"
"1036","9318","836","species","null","null","28123","Porphyromonas asaccharolytica"
"252","2266","838","species","null","null","28127","Prevotella buccalis"
"6037","54296","838","species","null","null","28128","Prevotella corporis"
"49","441","413496","species","null","null","28141","Cronobacter sakazakii"
"4","36","1224","class","null","null","28211","Alphaproteobacteria"
"6","54","1224","class","null","null","28216","Betaproteobacteria"
"19","171","68525","class","null","null","28221","Deltaproteobacteria"
"29","261","1485","species","null","null","29347","Clostridium scindens"
"9","81","1505663","species","null","null","29348","[Clostridium] spiroforme"
"5","45","31977","genus","null","null","29465","Veillonella"
"3512","31586","68525","class","null","null","29547","Epsilonproteobacteria"
"10","90","544448","class","null","null","31969","Mollicutes"
"882","7933","909929","family","null","null","31977","Veillonellaceae"
"1598","14372","186802","family","null","null","31979","Clostridiaceae"
"9","81","2","phylum","null","null","32066","Fusobacteria"
"4","36","1654","species","null","null","33007","Actinomyces neuii"
"4430","39843","162289","species","null","null","33030","Peptoniphilus indolicus"
"2","18","165779","species","null","null","33032","Anaerococcus lactolyticus"
"196","1763","165779","species","null","null","33034","Anaerococcus prevotii"
"1603","14417","165779","species","null","null","33037","Anaerococcus vaginalis"
"271","2437","186803","genus","null","null","33042","Coprococcus"
"110","989","186826","family","null","null","33958","Lactobacillaceae"
"17","153","194924","genus","null","null","35832","Bilophila"
"14","126","35832","species","null","null","35833","Bilophila wadsworthia"
"56","504","1716","species","null","null","38288","Corynebacterium genitalium"
"4","36","1730","species","null","null","39482","Eubacterium contortum"
"2","18","1730","species","null","null","39484","Eubacterium desmolans"
"2","18","1730","species","null","null","39485","Eubacterium eligens"
"45","405","1730","species","null","null","39492","Eubacterium siraeum"
"7418","66716","186813","no_rank","null","null","39779","unclassified Clostridiales (miscellaneous)"
"591","5315","31977","genus","null","null","39948","Dialister"
